,error
894,6.170579368290722
895,6.170579368290722
896,6.165771669323571
897,6.1572830941394505
898,6.1540916630400915
899,6.138191094372946
900,6.127542955121685
901,6.126882999583748
902,6.111558800247096
903,6.104706412511629
904,6.0982814851298235
905,6.095633279938268
906,6.086180606510363
907,6.07494000402869
908,6.071102333120921
909,6.070715231481914
910,6.06455445489102
911,6.0588789943110335
912,6.057539560939239
913,6.057539560939239
914,6.042775671671352
915,6.024999400924802
916,6.024435995561617
917,5.998056644275261
918,5.991377074998637
919,5.991377074998637
920,5.985627966460469
921,5.984458340548942
922,5.977269463638041
923,5.97524228346361
924,5.971845080218566
925,5.9684519420119075
926,5.962561915232907
927,5.955813054282654
928,5.948327781314322
929,5.948204609855955
930,5.947760423684017
931,5.944226137934684
932,5.93611526972025
933,5.93611526972025
934,5.930458453291553
935,5.918750373705255
936,5.898833020971484
937,5.898833020971484
938,5.898086665081603
939,5.881905856917205
940,5.879547002013871
941,5.8794739997162635
942,5.8741124915011325
943,5.860281784065257
944,5.839916413266526
945,5.839916413266526
946,5.836130179328315
947,5.832075770689728
948,5.824621646789597
949,5.769782594629567
950,5.759757996129362
951,5.756868357486548
952,5.756868357486548
953,5.753092202172586
954,5.74435667219805
955,5.734882917278976
956,5.731599337522368
957,5.719681399957156
958,5.718736813241108
959,5.716209508653613
960,5.713187994381019
961,5.707045974150961
962,5.706095182478123
963,5.692094516649387
964,5.669162872883618
965,5.666033297669989
966,5.666033297669989
967,5.654791466366455
968,5.654733208093689
969,5.653088522174174
970,5.6463937586955115
971,5.643092519997771
972,5.63148395382644
973,5.626589708242321
974,5.620129999629759
975,5.620129999629759
976,5.608058046612461
977,5.599527334136363
978,5.58225787889789
979,5.575456864439194
980,5.575456864439194
981,5.575119059207256
982,5.559913224671313
983,5.557894293332582
984,5.552507149335025
985,5.515334704929746
986,5.5099346921635854
987,5.5088341692508385
988,5.50081413657638
989,5.4984143982122715
990,5.4984143982122715
991,5.496431003275048
992,5.489124781836501
993,5.488036012083211
994,5.484955283393214
995,5.46969744612113
996,5.46969744612113
997,5.465832351201394
998,5.458735989529823
999,5.438105972536594
1000,5.436615522731571
1001,5.430404506545886
1002,5.4230020554260925
1003,5.422312693692052
1004,5.415188524536344
1005,5.407451049007563
1006,5.405730418924231
1007,5.396587210076089
1008,5.388856561874311
1009,5.386069024230739
1010,5.380405198857298
1011,5.372233114353773
1012,5.371153383810362
1013,5.362905411300187
1014,5.356450444759778
1015,5.349514356179737
1016,5.330840524375873
1017,5.330840524375873
1018,5.3271577271592205
1019,5.319220313544326
1020,5.307643874921642
1021,5.29423478574016
1022,5.289673350786744
1023,5.281573694653247
1024,5.260117560583312
1025,5.2558299926741725
1026,5.2558299926741725
1027,5.254690749053667
1028,5.254690749053667
1029,5.246827973861186
1030,5.246827973861186
1031,5.243952316996557
1032,5.243952316996557
1033,5.2334518205408935
1034,5.232218202036803
1035,5.223604123548812
